,initial_possession
Jeremy Sarmiento,7
Neal Maupay,0
Alexis Mac Allister,0
James Furlong,0
Levi Colwill,0
Adam Lallana,0
Kaoru Mitoma,16
Pervis Estupiñán,38
Odeluga Offiah,0
Jan Paul van Hecke,0
Ed Turns,0
Adam Webster,1
Solly March,26
Lewis Dunk,23
Moisés Caicedo,11
Andrew Moran,0
Facundo Buonanotte,2
Evan Ferguson,0
Julio Enciso,1
Jason Steele,0
Steven Alzate,0
Leandro Trossard,0
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,22
Deniz Undav,16
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,14
Enock Mwepu,0
Billy Gilmour,20
Danny Welbeck,4
Tariq Lamptey,25
Cameron Peupion,0
Joël Veltman,24
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
