,initial_possession
Adrián,0
Mohamed Salah,16
Fábio Carvalho,2
Alisson Becker,13
Cody Gakpo,21
Caoimhín Kelleher,0
Fabinho,29
Andy Robertson,25
Joe Gomez,0
Luis Díaz,27
Darwin Núñez,0
Stefan Bajcetic,0
Curtis Jones,19
Joël Matip,0
Virgil van Dijk,29
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,0
Harvey Elliott,1
Ibrahima Konaté,26
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,0
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,23
Trent Alexander-Arnold,48
Diogo Jota,4
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,10
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
