,initial_possession
Jeremy Sarmiento,3
Neal Maupay,0
Alexis Mac Allister,17
James Furlong,0
Levi Colwill,0
Adam Lallana,0
Kaoru Mitoma,13
Pervis Estupiñán,27
Odeluga Offiah,0
Jan Paul van Hecke,0
Ed Turns,0
Adam Webster,27
Solly March,20
Lewis Dunk,16
Moisés Caicedo,23
Andrew Moran,0
Facundo Buonanotte,2
Evan Ferguson,8
Julio Enciso,1
Jason Steele,10
Steven Alzate,0
Leandro Trossard,0
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,18
Deniz Undav,0
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,0
Enock Mwepu,0
Billy Gilmour,0
Danny Welbeck,1
Tariq Lamptey,5
Cameron Peupion,0
Joël Veltman,18
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
