,initial_possession
Reuell Walters,0
Ben White,39
Takehiro Tomiyasu,31
Emile Smith Rowe,0
Martin Ødegaard,11
Granit Xhaka,13
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,3
Karl Hein,0
Oleksandr Zinchenko,0
Thomas Partey,22
Kieran Tierney,4
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,27
Cédric Soares,0
Gabriel Jesus,16
Jorginho,0
Mauro Bandeira,0
Aaron Ramsdale,22
Gabriel Martinelli,26
Leandro Trossard,0
Lino Sousa,0
Bukayo Saka,17
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,4
Albert Sambi Lokonga,0
Gabriel Magalhães,35
Jakub Kiwior,0
Rob Holding,1
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
