,initial_possession
Adrián,0
Mohamed Salah,10
Fábio Carvalho,0
Alisson Becker,18
Cody Gakpo,12
Caoimhín Kelleher,0
Fabinho,24
Andy Robertson,27
Joe Gomez,25
Luis Díaz,0
Darwin Núñez,9
Stefan Bajcetic,7
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,19
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,10
Harvey Elliott,5
Ibrahima Konaté,0
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,0
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,10
Trent Alexander-Arnold,32
Diogo Jota,10
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,5
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
