,initial_possession
Adrián,0
Mohamed Salah,18
Fábio Carvalho,0
Alisson Becker,13
Cody Gakpo,6
Caoimhín Kelleher,0
Fabinho,14
Andy Robertson,10
Joe Gomez,0
Luis Díaz,23
Darwin Núñez,10
Stefan Bajcetic,0
Curtis Jones,17
Joël Matip,0
Virgil van Dijk,33
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,0
Harvey Elliott,7
Ibrahima Konaté,25
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,0
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,29
Trent Alexander-Arnold,37
Diogo Jota,2
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,0
Kostas Tsimikas,17
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
