,initial_possession
Reuell Walters,0
Ben White,13
Takehiro Tomiyasu,11
Emile Smith Rowe,0
Martin Ødegaard,10
Granit Xhaka,10
Mohamed Elneny,5
Reiss Nelson,0
Fábio Vieira,0
Karl Hein,0
Oleksandr Zinchenko,23
Thomas Partey,15
Kieran Tierney,10
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,26
Cédric Soares,0
Gabriel Jesus,0
Jorginho,0
Mauro Bandeira,0
Aaron Ramsdale,18
Gabriel Martinelli,13
Leandro Trossard,0
Lino Sousa,0
Bukayo Saka,24
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,16
Albert Sambi Lokonga,0
Gabriel Magalhães,24
Jakub Kiwior,0
Rob Holding,1
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
