,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,25
James Furlong,0
Levi Colwill,38
Adam Lallana,0
Kaoru Mitoma,9
Pervis Estupiñán,20
Odeluga Offiah,0
Jan Paul van Hecke,11
Ed Turns,0
Adam Webster,10
Solly March,0
Lewis Dunk,0
Moisés Caicedo,19
Andrew Moran,0
Facundo Buonanotte,11
Evan Ferguson,8
Julio Enciso,19
Jason Steele,14
Steven Alzate,0
Leandro Trossard,0
Tom McGill,0
Jack Hinshelwood,2
Pascal Groß,29
Deniz Undav,11
Yasin Ayari,6
Imari Samuels,0
Robert Sánchez,0
Enock Mwepu,0
Billy Gilmour,0
Danny Welbeck,0
Tariq Lamptey,0
Cameron Peupion,0
Joël Veltman,12
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
