,initial_possession
Reuell Walters,0
Ben White,21
Takehiro Tomiyasu,20
Emile Smith Rowe,0
Martin Ødegaard,26
Granit Xhaka,17
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,0
Karl Hein,0
Oleksandr Zinchenko,33
Thomas Partey,33
Kieran Tierney,0
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,34
Cédric Soares,0
Gabriel Jesus,0
Jorginho,0
Mauro Bandeira,0
Aaron Ramsdale,7
Gabriel Martinelli,22
Leandro Trossard,3
Lino Sousa,0
Bukayo Saka,27
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,19
Albert Sambi Lokonga,0
Gabriel Magalhães,27
Jakub Kiwior,0
Rob Holding,0
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
