,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,17
James Furlong,0
Levi Colwill,0
Adam Lallana,0
Kaoru Mitoma,15
Pervis Estupiñán,34
Odeluga Offiah,0
Jan Paul van Hecke,1
Ed Turns,0
Adam Webster,18
Solly March,23
Lewis Dunk,30
Moisés Caicedo,27
Andrew Moran,0
Facundo Buonanotte,0
Evan Ferguson,8
Julio Enciso,12
Jason Steele,0
Steven Alzate,0
Leandro Trossard,0
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,24
Deniz Undav,0
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,14
Enock Mwepu,0
Billy Gilmour,0
Danny Welbeck,14
Tariq Lamptey,0
Cameron Peupion,0
Joël Veltman,10
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
