,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,12
James Furlong,0
Levi Colwill,0
Adam Lallana,0
Kaoru Mitoma,20
Pervis Estupiñán,32
Odeluga Offiah,0
Jan Paul van Hecke,0
Ed Turns,0
Adam Webster,13
Solly March,21
Lewis Dunk,28
Moisés Caicedo,29
Andrew Moran,0
Facundo Buonanotte,2
Evan Ferguson,10
Julio Enciso,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,0
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,16
Deniz Undav,5
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,4
Enock Mwepu,0
Billy Gilmour,0
Danny Welbeck,0
Tariq Lamptey,15
Cameron Peupion,0
Joël Veltman,39
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
