,initial_possession
Adrián,0
Mohamed Salah,17
Fábio Carvalho,0
Alisson Becker,22
Cody Gakpo,21
Caoimhín Kelleher,0
Fabinho,12
Andy Robertson,33
Joe Gomez,27
Luis Díaz,0
Darwin Núñez,12
Stefan Bajcetic,20
Curtis Jones,2
Joël Matip,0
Virgil van Dijk,0
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,0
Harvey Elliott,14
Ibrahima Konaté,33
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,40
Rhys Williams,0
Harvey Davies,0
Naby Keïta,16
Nathaniel Phillips,0
Jordan Henderson,2
Trent Alexander-Arnold,11
Diogo Jota,0
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,28
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
