,initial_possession
Adrián,0
Mohamed Salah,14
Fábio Carvalho,5
Alisson Becker,20
Cody Gakpo,0
Caoimhín Kelleher,0
Fabinho,5
Andy Robertson,25
Joe Gomez,39
Luis Díaz,23
Darwin Núñez,0
Stefan Bajcetic,0
Curtis Jones,0
Joël Matip,0
Virgil van Dijk,43
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,19
Harvey Elliott,18
Ibrahima Konaté,0
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,0
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,15
Trent Alexander-Arnold,38
Diogo Jota,0
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,20
Kostas Tsimikas,5
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
