,initial_possession
Adrián,0
Mohamed Salah,5
Fábio Carvalho,0
Alisson Becker,11
Cody Gakpo,17
Caoimhín Kelleher,0
Fabinho,20
Andy Robertson,44
Joe Gomez,0
Luis Díaz,2
Darwin Núñez,1
Stefan Bajcetic,0
Curtis Jones,32
Joël Matip,0
Virgil van Dijk,29
Bobby Clark,0
Arthur,0
Ben Doak,0
Roberto Firmino,1
Harvey Elliott,0
Ibrahima Konaté,30
Sepp van den Berg,0
Calvin Ramsay,0
Thiago Alcântara,1
Rhys Williams,0
Harvey Davies,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,14
Trent Alexander-Arnold,27
Diogo Jota,14
Luke Chambers,0
Alex Oxlade-Chamberlain,0
James Milner,3
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
