,initial_possession
Reuell Walters,0
Ben White,23
Takehiro Tomiyasu,35
Emile Smith Rowe,0
Martin Ødegaard,21
Granit Xhaka,22
Mohamed Elneny,0
Reiss Nelson,0
Fábio Vieira,4
Karl Hein,0
Oleksandr Zinchenko,0
Thomas Partey,26
Kieran Tierney,2
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,23
Cédric Soares,0
Gabriel Jesus,20
Jorginho,0
Mauro Bandeira,0
Aaron Ramsdale,16
Gabriel Martinelli,19
Leandro Trossard,0
Lino Sousa,0
Bukayo Saka,20
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,1
Albert Sambi Lokonga,0
Gabriel Magalhães,32
Jakub Kiwior,0
Rob Holding,0
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
