,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,22
James Furlong,0
Levi Colwill,41
Adam Lallana,0
Kaoru Mitoma,17
Pervis Estupiñán,22
Odeluga Offiah,0
Jan Paul van Hecke,0
Ed Turns,0
Adam Webster,0
Solly March,24
Lewis Dunk,25
Moisés Caicedo,19
Andrew Moran,0
Facundo Buonanotte,1
Evan Ferguson,0
Julio Enciso,6
Jason Steele,9
Steven Alzate,0
Leandro Trossard,0
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,25
Deniz Undav,1
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,0
Enock Mwepu,0
Billy Gilmour,0
Danny Welbeck,17
Tariq Lamptey,0
Cameron Peupion,0
Joël Veltman,19
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
