,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,13
James Furlong,0
Levi Colwill,0
Adam Lallana,5
Kaoru Mitoma,20
Pervis Estupiñán,31
Odeluga Offiah,0
Jan Paul van Hecke,18
Ed Turns,0
Adam Webster,0
Solly March,14
Lewis Dunk,22
Moisés Caicedo,25
Andrew Moran,0
Facundo Buonanotte,0
Evan Ferguson,5
Julio Enciso,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,0
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,25
Deniz Undav,0
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,4
Enock Mwepu,0
Billy Gilmour,0
Danny Welbeck,6
Tariq Lamptey,3
Cameron Peupion,0
Joël Veltman,29
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
