,initial_possession
Reuell Walters,0
Ben White,23
Takehiro Tomiyasu,25
Emile Smith Rowe,0
Martin Ødegaard,17
Granit Xhaka,6
Mohamed Elneny,0
Reiss Nelson,13
Fábio Vieira,5
Karl Hein,0
Oleksandr Zinchenko,0
Thomas Partey,19
Kieran Tierney,6
Marquinhos,0
Nathan Butler-Oyedeji,0
William Saliba,23
Cédric Soares,11
Gabriel Jesus,21
Jorginho,0
Mauro Bandeira,0
Aaron Ramsdale,10
Gabriel Martinelli,13
Leandro Trossard,0
Lino Sousa,0
Bukayo Saka,6
Matt Turner,0
Nicolas Pépé,0
Eddie Nketiah,2
Albert Sambi Lokonga,0
Gabriel Magalhães,27
Jakub Kiwior,0
Rob Holding,0
Matt Smith,0
Ethan Nwaneri,0
Amario Cozier-Duberry,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
