,initial_possession
Jeremy Sarmiento,0
Neal Maupay,0
Alexis Mac Allister,23
James Furlong,0
Levi Colwill,2
Adam Lallana,18
Kaoru Mitoma,0
Pervis Estupiñán,0
Odeluga Offiah,0
Jan Paul van Hecke,0
Ed Turns,0
Adam Webster,24
Solly March,26
Lewis Dunk,20
Moisés Caicedo,27
Andrew Moran,0
Facundo Buonanotte,0
Evan Ferguson,0
Julio Enciso,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,14
Tom McGill,0
Jack Hinshelwood,0
Pascal Groß,14
Deniz Undav,1
Yasin Ayari,0
Imari Samuels,0
Robert Sánchez,19
Enock Mwepu,6
Billy Gilmour,0
Danny Welbeck,19
Tariq Lamptey,7
Cameron Peupion,0
Joël Veltman,45
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
