,initial_possession
Folarin Balogun,0
Ben White,18
Zach Awe,0
Takehiro Tomiyasu,37
Emile Smith Rowe,3
Martin Ødegaard,12
Granit Xhaka,30
Mohamed Elneny,0
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,27
Ainsley Maitland-Niles,0
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,26
Kieran Tierney,22
Nuno Tavares,1
Cédric Soares,0
Zak Swanson,0
Aaron Ramsdale,14
Gabriel Martinelli,27
Bukayo Saka,26
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,0
Eddie Nketiah,4
Albert Sambi Lokonga,0
Héctor Bellerín,0
Gabriel Magalhães,22
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,0
Marcelo Flores,0
Calum Chambers,0
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
