,initial_possession
Adrián,0
Mohamed Salah,23
Alisson Becker,5
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,22
Takumi Minamino,0
Andy Robertson,0
Joe Gomez,0
Luis Díaz,0
Curtis Jones,0
Joël Matip,40
Virgil van Dijk,38
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,4
Ibrahima Konaté,0
Harvey Elliott,0
Sadio Mané,18
Marcelo Pitaluga,0
Thiago Alcântara,0
Divock Origi,0
Rhys Williams,0
Naby Keïta,13
Nathaniel Phillips,0
Jordan Henderson,11
Trent Alexander-Arnold,48
Diogo Jota,24
Alex Oxlade-Chamberlain,14
James Milner,19
Kostas Tsimikas,27
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
