,Adrián,Mohamed Salah,Alisson Becker,Caoimhín Kelleher,Tyler Morton,Fabinho,Takumi Minamino,Andy Robertson,Joe Gomez,Luis Díaz,Curtis Jones,Joël Matip,Virgil van Dijk,Jarell Quansah,Kaide Gordon,Owen Beck,Ben Woodburn,Conor Bradley,Neco Williams,Roberto Firmino,Ibrahima Konaté,Harvey Elliott,Sadio Mané,Marcelo Pitaluga,Thiago Alcântara,Divock Origi,Rhys Williams,Naby Keïta,Nathaniel Phillips,Jordan Henderson,Trent Alexander-Arnold,Diogo Jota,Alex Oxlade-Chamberlain,James Milner,Kostas Tsimikas,Successful,Unsuccessful,Unsuccessful Pass
Adrián,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Salah,0,0,0,0,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,11,1,0,0,0,0,0,0,5,9,3,0,0,0,1,2,8
Alisson Becker,0,0,0,0,0,2,0,0,0,0,0,10,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2
Caoimhín Kelleher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Morton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,3,1,0,0,0,0,6,0,0,0,11,4,0,0,0,0,0,0,3,0,9,4,0,2,0,0,0,0,6,10,3,0,0,0,0,2,9
Takumi Minamino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Robertson,0,1,0,0,0,7,0,0,0,0,0,1,10,0,0,0,0,0,0,2,0,1,16,0,2,0,0,0,0,10,0,4,0,0,0,0,1,18
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Díaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
