,initial_possession
Folarin Balogun,0
Ben White,20
Zach Awe,0
Takehiro Tomiyasu,0
Emile Smith Rowe,10
Martin Ødegaard,16
Granit Xhaka,16
Mohamed Elneny,24
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,0
Ainsley Maitland-Niles,0
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,0
Kieran Tierney,0
Nuno Tavares,27
Cédric Soares,29
Zak Swanson,0
Aaron Ramsdale,25
Gabriel Martinelli,2
Bukayo Saka,15
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,0
Eddie Nketiah,6
Albert Sambi Lokonga,0
Héctor Bellerín,0
Gabriel Magalhães,24
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,0
Marcelo Flores,0
Calum Chambers,0
Rob Holding,5
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
