,initial_possession
Neal Maupay,0
Jeremy Sarmiento,0
Alexis Mac Allister,21
Adam Lallana,5
Odeluga Offiah,0
Ed Turns,0
Adam Webster,5
Marc Leonard,0
Solly March,0
Lewis Dunk,23
Jürgen Locadia,0
Marc Cucurella,45
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,9
Tom McGill,0
Pascal Groß,15
Taylor Richards,0
Dan Burn,0
Michal Karbownik,0
Shane Duffy,0
Jakub Moder,0
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,19
Robert Sánchez,19
Enock Mwepu,30
Moisés Caicedo,19
Andi Zeqiri,0
Tariq Lamptey,6
Yves Bissouma,25
Joël Veltman,23
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
