,initial_possession
Neal Maupay,14
Jeremy Sarmiento,0
Alexis Mac Allister,5
Adam Lallana,9
Odeluga Offiah,0
Ed Turns,0
Adam Webster,44
Marc Leonard,0
Solly March,18
Lewis Dunk,21
Jürgen Locadia,0
Marc Cucurella,0
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,23
Leandro Trossard,15
Tom McGill,0
Pascal Groß,35
Taylor Richards,0
Dan Burn,0
Michal Karbownik,0
Shane Duffy,46
Jakub Moder,5
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,0
Robert Sánchez,25
Enock Mwepu,14
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,14
Joël Veltman,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
