,initial_possession
Neal Maupay,7
Jeremy Sarmiento,0
Alexis Mac Allister,26
Adam Lallana,14
Odeluga Offiah,0
Ed Turns,0
Adam Webster,29
Marc Leonard,0
Solly March,32
Lewis Dunk,22
Jürgen Locadia,0
Marc Cucurella,0
Aaron Connolly,6
Evan Ferguson,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,12
Tom McGill,0
Pascal Groß,20
Taylor Richards,0
Dan Burn,0
Michal Karbownik,0
Shane Duffy,31
Jakub Moder,6
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,0
Robert Sánchez,15
Enock Mwepu,14
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,24
Joël Veltman,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
