,initial_possession
Neal Maupay,12
Jeremy Sarmiento,0
Alexis Mac Allister,29
Adam Lallana,0
Odeluga Offiah,0
Ed Turns,0
Adam Webster,23
Marc Leonard,0
Solly March,0
Lewis Dunk,14
Jürgen Locadia,0
Marc Cucurella,44
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,14
Leandro Trossard,6
Tom McGill,0
Pascal Groß,17
Taylor Richards,0
Dan Burn,0
Michal Karbownik,0
Shane Duffy,0
Jakub Moder,17
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,4
Robert Sánchez,14
Enock Mwepu,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,12
Yves Bissouma,41
Joël Veltman,35
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
