,initial_possession
Folarin Balogun,0
Ben White,24
Zach Awe,0
Takehiro Tomiyasu,20
Emile Smith Rowe,10
Martin Ødegaard,20
Granit Xhaka,27
Mohamed Elneny,22
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,4
Ainsley Maitland-Niles,0
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,0
Kieran Tierney,0
Nuno Tavares,17
Cédric Soares,16
Zak Swanson,0
Aaron Ramsdale,28
Gabriel Martinelli,9
Bukayo Saka,14
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,9
Pierre-Emerick Aubameyang,0
Eddie Nketiah,17
Albert Sambi Lokonga,0
Héctor Bellerín,0
Gabriel Magalhães,13
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,0
Marcelo Flores,0
Calum Chambers,0
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
