,Folarin Balogun,Ben White,Zach Awe,Takehiro Tomiyasu,Emile Smith Rowe,Martin Ødegaard,Granit Xhaka,Mohamed Elneny,Salah-Eddine Oulad M'hand,Reiss Nelson,Karl Hein,Mazeed Ogungbo,Alexandre Lacazette,Ainsley Maitland-Niles,Charlie Patino,Omari Hutchinson,Ryan Alebiosu,Thomas Partey,Kieran Tierney,Nuno Tavares,Cédric Soares,Zak Swanson,Aaron Ramsdale,Gabriel Martinelli,Bukayo Saka,Alex Kirk,Pablo Marí,Arthur Okonkwo,Nicolas Pépé,Pierre-Emerick Aubameyang,Eddie Nketiah,Albert Sambi Lokonga,Héctor Bellerín,Gabriel Magalhães,Sead Kolasinac,Miguel Azeez,Mika Biereth,Bernd Leno,Marcelo Flores,Calum Chambers,Rob Holding,Successful,Unsuccessful,Unsuccessful Pass
Folarin Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben White,0,0,0,12,0,3,0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,5,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,6
Zach Awe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,0,6,0,0,0,7,0,7,0,0,0,0,2,0,0,0,0,12,0,0,0,0,4,9,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14
Emile Smith Rowe,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,7
Martin Ødegaard,0,2,0,8,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,0,0,1,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,11
Granit Xhaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Elneny,0,10,0,8,9,4,0,0,0,0,0,0,0,0,0,0,0,9,0,16,0,0,1,4,1,0,0,0,0,1,1,0,0,13,0,0,0,0,0,0,0,0,1,8
Salah-Eddine Oulad M'hand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reiss Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mazeed Ogungbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ainsley Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Patino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omari Hutchinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Alebiosu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Partey,0,5,0,7,1,7,0,7,0,0,0,0,1,0,0,0,0,0,0,7,0,0,1,3,2,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,1,12
Kieran Tierney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuno Tavares,0,1,0,3,5,4,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,3,0,0,0,0,6,1,0,0,14,0,0,0,0,0,0,0,0,1,12
Cédric Soares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
