,initial_possession
Neal Maupay,17
Jeremy Sarmiento,0
Alexis Mac Allister,31
Adam Lallana,0
Odeluga Offiah,0
Ed Turns,0
Adam Webster,38
Marc Leonard,0
Solly March,3
Lewis Dunk,0
Jürgen Locadia,0
Marc Cucurella,32
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,21
Leandro Trossard,16
Tom McGill,0
Pascal Groß,20
Taylor Richards,0
Dan Burn,30
Michal Karbownik,0
Shane Duffy,0
Jakub Moder,20
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,3
Robert Sánchez,16
Enock Mwepu,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,6
Yves Bissouma,0
Joël Veltman,31
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
