,initial_possession
Adrián,0
Mohamed Salah,12
Alisson Becker,11
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,0
Takumi Minamino,0
Andy Robertson,31
Joe Gomez,0
Luis Díaz,0
Curtis Jones,0
Joël Matip,37
Virgil van Dijk,0
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,4
Ibrahima Konaté,29
Harvey Elliott,0
Sadio Mané,13
Marcelo Pitaluga,0
Thiago Alcântara,21
Divock Origi,0
Rhys Williams,0
Naby Keïta,7
Nathaniel Phillips,0
Jordan Henderson,29
Trent Alexander-Arnold,40
Diogo Jota,15
Alex Oxlade-Chamberlain,11
James Milner,0
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
