,Adrián,Mohamed Salah,Alisson Becker,Caoimhín Kelleher,Tyler Morton,Fabinho,Takumi Minamino,Andy Robertson,Joe Gomez,Luis Díaz,Curtis Jones,Joël Matip,Virgil van Dijk,Jarell Quansah,Kaide Gordon,Owen Beck,Ben Woodburn,Conor Bradley,Neco Williams,Roberto Firmino,Ibrahima Konaté,Harvey Elliott,Sadio Mané,Marcelo Pitaluga,Thiago Alcântara,Divock Origi,Rhys Williams,Naby Keïta,Nathaniel Phillips,Jordan Henderson,Trent Alexander-Arnold,Diogo Jota,Alex Oxlade-Chamberlain,James Milner,Kostas Tsimikas,Successful,Unsuccessful,Unsuccessful Pass
Adrián,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Salah,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,8,6,0,0,0,0,0,1,10
Alisson Becker,0,1,0,0,0,2,0,5,0,0,0,12,10,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,7,0,0,0,0,0,0,3
Caoimhín Kelleher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Morton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,3,2,0,0,0,0,9,0,0,0,5,4,0,0,0,0,0,0,2,0,0,1,0,2,0,0,3,0,4,10,2,0,0,0,1,2,10
Takumi Minamino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Robertson,0,2,0,0,0,5,0,0,0,0,0,1,15,0,0,0,0,0,0,11,0,0,6,0,3,0,0,19,0,4,0,9,0,0,0,0,1,13
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Díaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joël Matip,0,4,9,0,0,2,0,3,0,0,0,0,12,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,5,23,0,0,0,0,0,0,11
Virgil van Dijk,0,3,9,0,0,5,0,12,0,0,0,12,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,12,0,1,5,0,0,0,0,0,0,8
Jarell Quansah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaide Gordon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owen Beck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Woodburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conor Bradley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neco Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,0,3,0,0,0,1,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,14,0,3,1,1,0,0,0,0,1,7
Ibrahima Konaté,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey Elliott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sadio Mané,0,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,3,7
Marcelo Pitaluga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiago Alcântara,0,2,0,0,0,2,0,3,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,2,2,0,0,0,0,0,6
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhys Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,1,1,0,0,6,0,18,0,0,0,3,8,0,0,0,0,0,0,7,0,0,5,0,7,0,0,0,0,1,5,1,0,0,0,0,1,8
Nathaniel Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,0,6,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,20
Trent Alexander-Arnold,0,4,7,0,0,12,0,1,0,0,0,12,1,0,0,0,0,0,0,5,0,0,4,0,2,0,0,2,0,9,0,0,0,0,0,0,1,28
Diogo Jota,0,0,0,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kostas Tsimikas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
