,initial_possession
Neal Maupay,12
Jeremy Sarmiento,0
Alexis Mac Allister,11
Adam Lallana,8
Odeluga Offiah,0
Ed Turns,0
Adam Webster,31
Marc Leonard,0
Solly March,0
Lewis Dunk,16
Jürgen Locadia,0
Marc Cucurella,0
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,23
Tom McGill,0
Pascal Groß,29
Taylor Richards,2
Dan Burn,0
Michal Karbownik,0
Shane Duffy,23
Jakub Moder,11
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,3
Robert Sánchez,19
Enock Mwepu,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,37
Joël Veltman,24
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
