,initial_possession
Neal Maupay,10
Jeremy Sarmiento,0
Alexis Mac Allister,10
Adam Lallana,0
Odeluga Offiah,0
Ed Turns,0
Adam Webster,0
Marc Leonard,0
Solly March,9
Lewis Dunk,41
Jürgen Locadia,0
Marc Cucurella,37
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,30
Leandro Trossard,21
Tom McGill,0
Pascal Groß,24
Taylor Richards,0
Dan Burn,0
Michal Karbownik,0
Shane Duffy,44
Jakub Moder,15
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,19
Robert Sánchez,12
Enock Mwepu,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,12
Yves Bissouma,0
Joël Veltman,35
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
