,initial_possession
Folarin Balogun,0
Ben White,0
Zach Awe,0
Takehiro Tomiyasu,33
Emile Smith Rowe,4
Martin Ødegaard,19
Granit Xhaka,17
Mohamed Elneny,19
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,1
Ainsley Maitland-Niles,0
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,0
Kieran Tierney,0
Nuno Tavares,0
Cédric Soares,48
Zak Swanson,0
Aaron Ramsdale,6
Gabriel Martinelli,14
Bukayo Saka,18
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,5
Pierre-Emerick Aubameyang,0
Eddie Nketiah,9
Albert Sambi Lokonga,0
Héctor Bellerín,0
Gabriel Magalhães,17
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,0
Marcelo Flores,0
Calum Chambers,0
Rob Holding,20
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
