,initial_possession
Folarin Balogun,0
Ben White,22
Zach Awe,0
Takehiro Tomiyasu,35
Emile Smith Rowe,17
Martin Ødegaard,12
Granit Xhaka,0
Mohamed Elneny,1
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,3
Ainsley Maitland-Niles,0
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,28
Kieran Tierney,0
Nuno Tavares,27
Cédric Soares,0
Zak Swanson,0
Aaron Ramsdale,11
Gabriel Martinelli,6
Bukayo Saka,13
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,11
Eddie Nketiah,0
Albert Sambi Lokonga,17
Héctor Bellerín,0
Gabriel Magalhães,30
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,0
Marcelo Flores,0
Calum Chambers,0
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
