,initial_possession
Adrián,0
Mohamed Salah,6
Alisson Becker,17
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,27
Takumi Minamino,0
Andy Robertson,48
Joe Gomez,0
Luis Díaz,11
Curtis Jones,0
Joël Matip,25
Virgil van Dijk,21
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,10
Ibrahima Konaté,0
Harvey Elliott,0
Sadio Mané,14
Marcelo Pitaluga,0
Thiago Alcântara,26
Divock Origi,0
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,17
Trent Alexander-Arnold,25
Diogo Jota,8
Alex Oxlade-Chamberlain,0
James Milner,0
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
