,initial_possession
Adrián,0
Mohamed Salah,0
Alisson Becker,12
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,0
Takumi Minamino,12
Andy Robertson,0
Joe Gomez,12
Luis Díaz,0
Curtis Jones,15
Joël Matip,27
Virgil van Dijk,0
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,26
Ibrahima Konaté,36
Harvey Elliott,12
Sadio Mané,0
Marcelo Pitaluga,0
Thiago Alcântara,0
Divock Origi,5
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,11
Trent Alexander-Arnold,0
Diogo Jota,16
Alex Oxlade-Chamberlain,0
James Milner,32
Kostas Tsimikas,38
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
