,Folarin Balogun,Ben White,Zach Awe,Takehiro Tomiyasu,Emile Smith Rowe,Martin Ødegaard,Granit Xhaka,Mohamed Elneny,Salah-Eddine Oulad M'hand,Reiss Nelson,Karl Hein,Mazeed Ogungbo,Alexandre Lacazette,Ainsley Maitland-Niles,Charlie Patino,Omari Hutchinson,Ryan Alebiosu,Thomas Partey,Kieran Tierney,Nuno Tavares,Cédric Soares,Zak Swanson,Aaron Ramsdale,Gabriel Martinelli,Bukayo Saka,Alex Kirk,Pablo Marí,Arthur Okonkwo,Nicolas Pépé,Pierre-Emerick Aubameyang,Eddie Nketiah,Albert Sambi Lokonga,Héctor Bellerín,Gabriel Magalhães,Sead Kolasinac,Miguel Azeez,Mika Biereth,Bernd Leno,Marcelo Flores,Calum Chambers,Rob Holding,Successful,Unsuccessful,Unsuccessful Pass
Folarin Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben White,0,0,0,1,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,10
Zach Awe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
Emile Smith Rowe,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
Martin Ødegaard,0,2,0,0,0,0,3,5,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,5
Granit Xhaka,0,5,0,1,1,4,0,10,0,0,0,0,1,0,0,0,0,0,0,5,1,0,2,4,4,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,7
Mohamed Elneny,0,6,0,0,2,2,5,0,0,0,0,0,1,0,0,0,0,0,0,1,8,0,0,1,1,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,2,2
Salah-Eddine Oulad M'hand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reiss Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
