,initial_possession
Folarin Balogun,6
Ben White,0
Zach Awe,0
Takehiro Tomiyasu,0
Emile Smith Rowe,14
Martin Ødegaard,0
Granit Xhaka,35
Mohamed Elneny,0
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,0
Ainsley Maitland-Niles,0
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,0
Kieran Tierney,14
Nuno Tavares,12
Cédric Soares,17
Zak Swanson,0
Aaron Ramsdale,0
Gabriel Martinelli,13
Bukayo Saka,10
Alex Kirk,0
Pablo Marí,31
Arthur Okonkwo,0
Nicolas Pépé,28
Pierre-Emerick Aubameyang,5
Eddie Nketiah,0
Albert Sambi Lokonga,13
Héctor Bellerín,0
Gabriel Magalhães,0
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,21
Marcelo Flores,0
Calum Chambers,0
Rob Holding,33
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
