,initial_possession
Neal Maupay,11
Jeremy Sarmiento,1
Alexis Mac Allister,26
Adam Lallana,0
Odeluga Offiah,0
Ed Turns,0
Adam Webster,0
Marc Leonard,0
Solly March,31
Lewis Dunk,25
Jürgen Locadia,0
Marc Cucurella,41
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,16
Tom McGill,0
Pascal Groß,36
Taylor Richards,0
Dan Burn,0
Michal Karbownik,0
Shane Duffy,0
Jakub Moder,4
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,15
Robert Sánchez,11
Enock Mwepu,3
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,21
Yves Bissouma,0
Joël Veltman,49
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
