,initial_possession
Adrián,0
Mohamed Salah,9
Alisson Becker,22
Caoimhín Kelleher,0
Tyler Morton,25
Fabinho,0
Takumi Minamino,0
Andy Robertson,20
Joe Gomez,1
Luis Díaz,0
Curtis Jones,0
Joël Matip,39
Virgil van Dijk,0
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,7
Ibrahima Konaté,23
Harvey Elliott,0
Sadio Mané,21
Marcelo Pitaluga,0
Thiago Alcântara,0
Divock Origi,0
Rhys Williams,0
Naby Keïta,38
Nathaniel Phillips,0
Jordan Henderson,0
Trent Alexander-Arnold,42
Diogo Jota,25
Alex Oxlade-Chamberlain,0
James Milner,24
Kostas Tsimikas,6
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
