,initial_possession
Neal Maupay,32
Jeremy Sarmiento,0
Alexis Mac Allister,26
Adam Lallana,16
Odeluga Offiah,0
Ed Turns,0
Adam Webster,30
Marc Leonard,0
Solly March,0
Lewis Dunk,0
Jürgen Locadia,0
Marc Cucurella,37
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,7
Tom McGill,0
Pascal Groß,0
Taylor Richards,0
Dan Burn,38
Michal Karbownik,0
Shane Duffy,12
Jakub Moder,3
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,0
Robert Sánchez,22
Enock Mwepu,27
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,13
Yves Bissouma,40
Joël Veltman,29
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
