,initial_possession
Adrián,0
Mohamed Salah,14
Alisson Becker,11
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,37
Takumi Minamino,2
Andy Robertson,38
Joe Gomez,0
Luis Díaz,0
Curtis Jones,0
Joël Matip,32
Virgil van Dijk,44
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,0
Ibrahima Konaté,0
Harvey Elliott,0
Sadio Mané,21
Marcelo Pitaluga,0
Thiago Alcântara,34
Divock Origi,0
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,13
Trent Alexander-Arnold,36
Diogo Jota,5
Alex Oxlade-Chamberlain,11
James Milner,3
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
