,initial_possession
Neal Maupay,13
Jeremy Sarmiento,0
Alexis Mac Allister,8
Adam Lallana,23
Odeluga Offiah,0
Ed Turns,0
Adam Webster,12
Marc Leonard,0
Solly March,8
Lewis Dunk,14
Jürgen Locadia,0
Marc Cucurella,26
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,24
Tom McGill,0
Pascal Groß,0
Taylor Richards,0
Dan Burn,0
Michal Karbownik,0
Shane Duffy,33
Jakub Moder,8
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,13
Robert Sánchez,17
Enock Mwepu,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,28
Joël Veltman,40
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
