,Adrián,Mohamed Salah,Alisson Becker,Caoimhín Kelleher,Tyler Morton,Fabinho,Takumi Minamino,Andy Robertson,Joe Gomez,Luis Díaz,Curtis Jones,Joël Matip,Virgil van Dijk,Jarell Quansah,Kaide Gordon,Owen Beck,Ben Woodburn,Conor Bradley,Neco Williams,Roberto Firmino,Ibrahima Konaté,Harvey Elliott,Sadio Mané,Marcelo Pitaluga,Thiago Alcântara,Divock Origi,Rhys Williams,Naby Keïta,Nathaniel Phillips,Jordan Henderson,Trent Alexander-Arnold,Diogo Jota,Alex Oxlade-Chamberlain,James Milner,Kostas Tsimikas,Successful,Unsuccessful,Unsuccessful Pass
Adrián,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Salah,0,0,0,0,0,0,0,0,6,0,6,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,3,4
Alisson Becker,0,0,0,0,0,1,0,7,2,0,0,5,11,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,4
Caoimhín Kelleher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Morton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,1,0,0,0,0,0,7,3,0,0,4,5,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,3,0,1,0,1,0,1,0,4
Takumi Minamino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Robertson,0,0,1,0,0,6,0,0,2,0,1,1,17,0,0,0,0,0,0,5,0,0,0,0,22,0,0,0,0,7,0,14,0,0,0,0,1,17
Joe Gomez,0,11,4,0,0,2,0,2,0,0,3,16,3,0,0,0,0,0,0,8,0,0,1,0,3,0,0,0,0,10,0,0,0,0,0,0,0,18
Luis Díaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,7,0,0,0,0,0,0,5,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,9
Joël Matip,0,7,7,0,0,7,0,1,14,0,2,0,31,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,14,0,1,0,0,0,0,1,13
Virgil van Dijk,0,0,4,0,0,6,0,21,1,0,0,32,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,14,0,0,0,2,0,0,1,11
Jarell Quansah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaide Gordon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owen Beck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Woodburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conor Bradley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neco Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,0,3,0,0,0,0,0,6,2,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,4,0,5,0,0,0,0,3,4
Ibrahima Konaté,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey Elliott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sadio Mané,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3
Marcelo Pitaluga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiago Alcântara,0,1,2,0,0,4,0,18,6,0,4,13,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,1,13
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhys Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,0,5,3,0,0,3,0,3,14,0,2,7,11,0,0,0,0,0,0,4,0,0,1,0,5,0,0,0,0,0,0,4,0,0,0,0,0,17
Trent Alexander-Arnold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diogo Jota,0,1,0,0,0,1,0,4,0,0,2,1,2,0,0,0,0,0,0,2,0,0,2,0,6,0,0,0,0,1,0,0,0,1,0,1,5,8
Alex Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
