,initial_possession
Adrián,0
Mohamed Salah,10
Alisson Becker,11
Caoimhín Kelleher,0
Tyler Morton,2
Fabinho,24
Takumi Minamino,1
Andy Robertson,0
Joe Gomez,0
Luis Díaz,0
Curtis Jones,0
Joël Matip,22
Virgil van Dijk,28
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,0
Ibrahima Konaté,0
Harvey Elliott,0
Sadio Mané,19
Marcelo Pitaluga,0
Thiago Alcântara,28
Divock Origi,0
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,3
Trent Alexander-Arnold,26
Diogo Jota,13
Alex Oxlade-Chamberlain,28
James Milner,0
Kostas Tsimikas,28
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
