,initial_possession
Adrián,0
Mohamed Salah,16
Alisson Becker,13
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,26
Takumi Minamino,0
Andy Robertson,28
Joe Gomez,0
Luis Díaz,0
Curtis Jones,0
Joël Matip,32
Virgil van Dijk,30
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,0
Ibrahima Konaté,0
Harvey Elliott,0
Sadio Mané,19
Marcelo Pitaluga,0
Thiago Alcântara,29
Divock Origi,6
Rhys Williams,0
Naby Keïta,0
Nathaniel Phillips,0
Jordan Henderson,13
Trent Alexander-Arnold,23
Diogo Jota,16
Alex Oxlade-Chamberlain,2
James Milner,1
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
