,initial_possession
Neal Maupay,1
Jeremy Sarmiento,0
Alexis Mac Allister,4
Adam Lallana,6
Odeluga Offiah,0
Ed Turns,0
Adam Webster,49
Marc Leonard,0
Solly March,8
Lewis Dunk,23
Jürgen Locadia,0
Marc Cucurella,15
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,14
Steven Alzate,0
Leandro Trossard,13
Tom McGill,0
Pascal Groß,26
Taylor Richards,0
Dan Burn,0
Michal Karbownik,0
Shane Duffy,16
Jakub Moder,23
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,0
Robert Sánchez,0
Enock Mwepu,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,23
Yves Bissouma,25
Joël Veltman,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
