,initial_possession
Folarin Balogun,0
Ben White,21
Zach Awe,0
Takehiro Tomiyasu,39
Emile Smith Rowe,8
Martin Ødegaard,10
Granit Xhaka,0
Mohamed Elneny,0
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,0
Ainsley Maitland-Niles,26
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,15
Kieran Tierney,21
Nuno Tavares,0
Cédric Soares,7
Zak Swanson,0
Aaron Ramsdale,15
Gabriel Martinelli,0
Bukayo Saka,18
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,33
Pierre-Emerick Aubameyang,17
Eddie Nketiah,0
Albert Sambi Lokonga,24
Héctor Bellerín,0
Gabriel Magalhães,16
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,0
Marcelo Flores,0
Calum Chambers,0
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
