,initial_possession
Adrián,0
Mohamed Salah,18
Alisson Becker,25
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,0
Takumi Minamino,0
Andy Robertson,0
Joe Gomez,0
Luis Díaz,0
Curtis Jones,0
Joël Matip,49
Virgil van Dijk,37
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,3
Ibrahima Konaté,0
Harvey Elliott,18
Sadio Mané,14
Marcelo Pitaluga,0
Thiago Alcântara,6
Divock Origi,0
Rhys Williams,0
Naby Keïta,21
Nathaniel Phillips,0
Jordan Henderson,13
Trent Alexander-Arnold,40
Diogo Jota,16
Alex Oxlade-Chamberlain,0
James Milner,0
Kostas Tsimikas,38
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
