,initial_possession
Folarin Balogun,0
Ben White,21
Zach Awe,0
Takehiro Tomiyasu,33
Emile Smith Rowe,20
Martin Ødegaard,8
Granit Xhaka,0
Mohamed Elneny,0
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,1
Ainsley Maitland-Niles,0
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,36
Kieran Tierney,23
Nuno Tavares,0
Cédric Soares,0
Zak Swanson,0
Aaron Ramsdale,27
Gabriel Martinelli,0
Bukayo Saka,13
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,10
Pierre-Emerick Aubameyang,11
Eddie Nketiah,0
Albert Sambi Lokonga,22
Héctor Bellerín,0
Gabriel Magalhães,19
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,0
Marcelo Flores,0
Calum Chambers,0
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
