,initial_possession
Adrián,0
Mohamed Salah,8
Alisson Becker,22
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,0
Takumi Minamino,5
Andy Robertson,25
Joe Gomez,0
Luis Díaz,0
Curtis Jones,16
Joël Matip,0
Virgil van Dijk,24
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,14
Ibrahima Konaté,34
Harvey Elliott,0
Sadio Mané,32
Marcelo Pitaluga,0
Thiago Alcântara,0
Divock Origi,0
Rhys Williams,0
Naby Keïta,5
Nathaniel Phillips,0
Jordan Henderson,22
Trent Alexander-Arnold,30
Diogo Jota,3
Alex Oxlade-Chamberlain,15
James Milner,0
Kostas Tsimikas,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
