,Adrián,Mohamed Salah,Alisson Becker,Caoimhín Kelleher,Tyler Morton,Fabinho,Takumi Minamino,Andy Robertson,Joe Gomez,Luis Díaz,Curtis Jones,Joël Matip,Virgil van Dijk,Jarell Quansah,Kaide Gordon,Owen Beck,Ben Woodburn,Conor Bradley,Neco Williams,Roberto Firmino,Ibrahima Konaté,Harvey Elliott,Sadio Mané,Marcelo Pitaluga,Thiago Alcântara,Divock Origi,Rhys Williams,Naby Keïta,Nathaniel Phillips,Jordan Henderson,Trent Alexander-Arnold,Diogo Jota,Alex Oxlade-Chamberlain,James Milner,Kostas Tsimikas,Successful,Unsuccessful,Unsuccessful Pass
Adrián,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mohamed Salah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,3,0,0,0,0,0,0,4,6,0,0,0,0,0,2,10
Alisson Becker,0,1,0,0,0,0,0,7,0,0,1,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,5
Caoimhín Kelleher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Morton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takumi Minamino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Andy Robertson,0,2,3,0,0,0,0,0,0,0,20,0,15,0,0,0,0,0,0,5,2,0,12,0,0,0,0,0,0,8,0,1,7,0,0,0,0,12
Joe Gomez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Díaz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Jones,0,2,2,0,0,0,0,21,0,0,0,0,17,0,0,0,0,0,0,2,2,0,5,0,0,0,0,1,0,7,5,0,0,0,0,0,0,3
Joël Matip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,0,1,6,0,0,0,1,13,0,0,16,0,1,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,7,6,0,4,0,0,0,0,7
Jarell Quansah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaide Gordon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owen Beck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Woodburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conor Bradley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neco Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Firmino,0,1,0,0,0,0,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,8,5,0,2,0,0,0,4,8
Ibrahima Konaté,0,3,4,0,0,0,1,0,0,0,3,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,3,16,0,7,0,0,0,0,15
Harvey Elliott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sadio Mané,0,2,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,1,1,10
Marcelo Pitaluga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiago Alcântara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhys Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,8,0,0,0,0,0,0,1
Nathaniel Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,0,3,1,0,0,0,1,12,0,0,5,0,4,0,0,0,0,0,0,4,10,0,1,0,0,0,0,3,0,0,10,1,4,0,0,1,2,10
Trent Alexander-Arnold,0,15,2,0,0,0,0,2,0,0,8,0,4,0,0,0,0,0,0,6,13,0,4,0,0,0,0,6,0,11,0,1,7,0,0,0,1,20
Diogo Jota,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade-Chamberlain,0,3,0,0,0,0,0,3,0,0,3,0,2,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,4,6,0,0,0,0,0,2,7
James Milner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kostas Tsimikas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
