,Folarin Balogun,Ben White,Zach Awe,Takehiro Tomiyasu,Emile Smith Rowe,Martin Ødegaard,Granit Xhaka,Mohamed Elneny,Salah-Eddine Oulad M'hand,Reiss Nelson,Karl Hein,Mazeed Ogungbo,Alexandre Lacazette,Ainsley Maitland-Niles,Charlie Patino,Omari Hutchinson,Ryan Alebiosu,Thomas Partey,Kieran Tierney,Nuno Tavares,Cédric Soares,Zak Swanson,Aaron Ramsdale,Gabriel Martinelli,Bukayo Saka,Alex Kirk,Pablo Marí,Arthur Okonkwo,Nicolas Pépé,Pierre-Emerick Aubameyang,Eddie Nketiah,Albert Sambi Lokonga,Héctor Bellerín,Gabriel Magalhães,Sead Kolasinac,Miguel Azeez,Mika Biereth,Bernd Leno,Marcelo Flores,Calum Chambers,Rob Holding,Successful,Unsuccessful,Unsuccessful Pass
Folarin Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben White,0,0,0,0,0,7,2,0,0,0,0,0,1,0,0,0,0,3,1,0,14,0,4,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,8
Zach Awe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emile Smith Rowe,0,0,0,0,0,5,6,0,0,0,0,0,1,0,0,0,0,3,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,11
Martin Ødegaard,0,3,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,8,4,0,20,0,3,0,13,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,3,12
Granit Xhaka,0,4,0,0,15,7,0,0,0,0,0,0,2,0,0,0,0,6,12,0,2,0,0,0,3,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8
Mohamed Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salah-Eddine Oulad M'hand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reiss Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mazeed Ogungbo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
Ainsley Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Patino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omari Hutchinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Alebiosu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Partey,0,5,0,0,2,11,9,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,6
