,initial_possession
Neal Maupay,10
Jeremy Sarmiento,0
Alexis Mac Allister,0
Adam Lallana,31
Odeluga Offiah,0
Ed Turns,0
Adam Webster,0
Marc Leonard,0
Solly March,11
Lewis Dunk,33
Jürgen Locadia,0
Marc Cucurella,20
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,21
Tom McGill,0
Pascal Groß,22
Taylor Richards,0
Dan Burn,35
Michal Karbownik,0
Shane Duffy,31
Jakub Moder,16
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,0
Robert Sánchez,19
Enock Mwepu,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,12
Yves Bissouma,0
Joël Veltman,27
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
