,initial_possession
Neal Maupay,15
Jeremy Sarmiento,0
Alexis Mac Allister,20
Adam Lallana,22
Odeluga Offiah,0
Ed Turns,0
Adam Webster,0
Marc Leonard,0
Solly March,22
Lewis Dunk,0
Jürgen Locadia,0
Marc Cucurella,52
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,3
Leandro Trossard,0
Tom McGill,0
Pascal Groß,0
Taylor Richards,0
Dan Burn,40
Michal Karbownik,0
Shane Duffy,0
Jakub Moder,18
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,4
Robert Sánchez,15
Enock Mwepu,6
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,14
Yves Bissouma,30
Joël Veltman,41
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
