,Neal Maupay,Jeremy Sarmiento,Alexis Mac Allister,Adam Lallana,Odeluga Offiah,Ed Turns,Adam Webster,Marc Leonard,Solly March,Lewis Dunk,Jürgen Locadia,Marc Cucurella,Aaron Connolly,Evan Ferguson,Jason Steele,Steven Alzate,Leandro Trossard,Tom McGill,Pascal Groß,Taylor Richards,Dan Burn,Michal Karbownik,Shane Duffy,Jakub Moder,Haydon Roberts,Florin Andone,Kjell Scherpen,Danny Welbeck,Robert Sánchez,Enock Mwepu,Moisés Caicedo,Andi Zeqiri,Tariq Lamptey,Yves Bissouma,Joël Veltman,Successful,Unsuccessful,Unsuccessful Pass
Neal Maupay,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,1,5
Jeremy Sarmiento,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Alexis Mac Allister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Lallana,3,1,0,0,0,0,0,0,2,1,0,7,0,0,0,0,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,2,0,1,4
Odeluga Offiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Turns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Webster,1,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,3,6,0,0,5
Marc Leonard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solly March,1,0,0,5,0,0,0,0,0,5,0,2,0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,3,4,9,0,0,15
Lewis Dunk,4,0,0,2,0,0,8,0,4,0,0,12,0,0,0,0,4,0,0,0,0,0,13,1,0,0,0,0,11,0,0,0,3,10,1,0,2,4
Jürgen Locadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Cucurella,4,0,0,3,0,0,0,0,4,10,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,14,1,0,1,10
Aaron Connolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Ferguson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Steele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Alzate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Trossard,0,0,0,5,0,0,0,0,2,4,0,7,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,1,3,1,0,1,10
Tom McGill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Groß,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Richards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Burn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michal Karbownik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Duffy,2,0,0,0,0,0,0,0,1,11,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,4,4,6,0,0,6
Jakub Moder,1,2,0,3,0,0,2,0,7,2,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,6,0,1,15
Haydon Roberts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin Andone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kjell Scherpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Welbeck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Sánchez,1,0,0,0,0,0,8,0,0,22,0,1,0,0,0,0,2,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,2,2,0,0,5
Enock Mwepu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moisés Caicedo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andi Zeqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tariq Lamptey,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,3
Yves Bissouma,3,0,0,6,0,0,4,0,5,9,0,7,0,0,0,0,7,0,0,0,0,0,5,12,0,0,0,0,1,0,0,0,0,0,2,0,0,3
Joël Veltman,0,0,0,2,0,0,3,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,1,0,0,1,8
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
