,initial_possession
Neal Maupay,12
Jeremy Sarmiento,0
Alexis Mac Allister,0
Adam Lallana,21
Odeluga Offiah,0
Ed Turns,0
Adam Webster,0
Marc Leonard,0
Solly March,0
Lewis Dunk,23
Jürgen Locadia,0
Marc Cucurella,38
Aaron Connolly,3
Evan Ferguson,0
Jason Steele,0
Steven Alzate,6
Leandro Trossard,20
Tom McGill,0
Pascal Groß,21
Taylor Richards,0
Dan Burn,12
Michal Karbownik,0
Shane Duffy,29
Jakub Moder,7
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,7
Robert Sánchez,22
Enock Mwepu,0
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,0
Joël Veltman,43
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
