,initial_possession
Adrián,0
Mohamed Salah,22
Alisson Becker,14
Caoimhín Kelleher,0
Tyler Morton,0
Fabinho,0
Takumi Minamino,2
Andy Robertson,0
Joe Gomez,37
Luis Díaz,13
Curtis Jones,0
Joël Matip,32
Virgil van Dijk,38
Jarell Quansah,0
Kaide Gordon,0
Owen Beck,0
Ben Woodburn,0
Conor Bradley,0
Neco Williams,0
Roberto Firmino,0
Ibrahima Konaté,0
Harvey Elliott,0
Sadio Mané,13
Marcelo Pitaluga,0
Thiago Alcântara,11
Divock Origi,3
Rhys Williams,0
Naby Keïta,15
Nathaniel Phillips,0
Jordan Henderson,17
Trent Alexander-Arnold,0
Diogo Jota,0
Alex Oxlade-Chamberlain,13
James Milner,0
Kostas Tsimikas,42
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
