,Neal Maupay,Jeremy Sarmiento,Alexis Mac Allister,Adam Lallana,Odeluga Offiah,Ed Turns,Adam Webster,Marc Leonard,Solly March,Lewis Dunk,Jürgen Locadia,Marc Cucurella,Aaron Connolly,Evan Ferguson,Jason Steele,Steven Alzate,Leandro Trossard,Tom McGill,Pascal Groß,Taylor Richards,Dan Burn,Michal Karbownik,Shane Duffy,Jakub Moder,Haydon Roberts,Florin Andone,Kjell Scherpen,Danny Welbeck,Robert Sánchez,Enock Mwepu,Moisés Caicedo,Andi Zeqiri,Tariq Lamptey,Yves Bissouma,Joël Veltman,Successful,Unsuccessful,Unsuccessful Pass
Neal Maupay,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Jeremy Sarmiento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Mac Allister,0,0,0,1,0,0,1,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,1,2
Adam Lallana,0,0,2,0,0,0,3,0,7,13,0,5,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,5,14,16,0,1,2
Odeluga Offiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ed Turns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Webster,0,0,1,6,0,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1
Marc Leonard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solly March,0,0,0,4,0,0,0,0,0,2,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,1,3
Lewis Dunk,1,0,0,9,0,0,0,0,2,0,0,32,0,0,0,0,3,0,0,0,0,0,24,0,0,0,0,0,12,0,0,0,0,10,2,0,0,8
Jürgen Locadia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Cucurella,1,0,6,10,0,0,0,0,6,26,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,8,0,0,2,12
Aaron Connolly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Ferguson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Steele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steven Alzate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Trossard,1,0,2,7,0,0,3,0,1,2,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,2,2,1,4,9
Tom McGill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Groß,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Richards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Burn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michal Karbownik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Duffy,0,0,0,5,0,0,2,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,15,23,0,1,7
Jakub Moder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haydon Roberts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florin Andone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kjell Scherpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Welbeck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Sánchez,0,0,0,3,0,0,2,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,1,1,0,0,11
Enock Mwepu,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2
Moisés Caicedo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andi Zeqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tariq Lamptey,0,0,0,3,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0,2,5
Yves Bissouma,2,0,5,17,0,0,5,0,0,19,0,4,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,9,0,1,4
Joël Veltman,1,0,1,12,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,2,2,0,0,10,10,0,0,0,8
Successful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unsuccessful Pass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
