,initial_possession
Folarin Balogun,0
Ben White,0
Zach Awe,0
Takehiro Tomiyasu,0
Emile Smith Rowe,17
Martin Ødegaard,10
Granit Xhaka,5
Mohamed Elneny,4
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,10
Ainsley Maitland-Niles,2
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,0
Kieran Tierney,26
Nuno Tavares,0
Cédric Soares,24
Zak Swanson,0
Aaron Ramsdale,0
Gabriel Martinelli,0
Bukayo Saka,6
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,7
Eddie Nketiah,0
Albert Sambi Lokonga,0
Héctor Bellerín,0
Gabriel Magalhães,0
Sead Kolasinac,13
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,26
Marcelo Flores,0
Calum Chambers,26
Rob Holding,18
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
