,initial_possession
Folarin Balogun,0
Ben White,27
Zach Awe,0
Takehiro Tomiyasu,0
Emile Smith Rowe,7
Martin Ødegaard,11
Granit Xhaka,31
Mohamed Elneny,0
Salah-Eddine Oulad M'hand,0
Reiss Nelson,0
Karl Hein,0
Mazeed Ogungbo,0
Alexandre Lacazette,12
Ainsley Maitland-Niles,0
Charlie Patino,0
Omari Hutchinson,0
Ryan Alebiosu,0
Thomas Partey,23
Kieran Tierney,0
Nuno Tavares,23
Cédric Soares,39
Zak Swanson,0
Aaron Ramsdale,13
Gabriel Martinelli,12
Bukayo Saka,18
Alex Kirk,0
Pablo Marí,0
Arthur Okonkwo,0
Nicolas Pépé,0
Pierre-Emerick Aubameyang,0
Eddie Nketiah,6
Albert Sambi Lokonga,8
Héctor Bellerín,0
Gabriel Magalhães,28
Sead Kolasinac,0
Miguel Azeez,0
Mika Biereth,0
Bernd Leno,0
Marcelo Flores,0
Calum Chambers,0
Rob Holding,0
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
