,initial_possession
Neal Maupay,18
Jeremy Sarmiento,0
Alexis Mac Allister,0
Adam Lallana,33
Odeluga Offiah,0
Ed Turns,0
Adam Webster,0
Marc Leonard,0
Solly March,13
Lewis Dunk,21
Jürgen Locadia,0
Marc Cucurella,31
Aaron Connolly,0
Evan Ferguson,0
Jason Steele,0
Steven Alzate,0
Leandro Trossard,22
Tom McGill,0
Pascal Groß,0
Taylor Richards,0
Dan Burn,7
Michal Karbownik,0
Shane Duffy,25
Jakub Moder,7
Haydon Roberts,0
Florin Andone,0
Kjell Scherpen,0
Danny Welbeck,15
Robert Sánchez,16
Enock Mwepu,11
Moisés Caicedo,0
Andi Zeqiri,0
Tariq Lamptey,0
Yves Bissouma,21
Joël Veltman,33
Successful,0
Unsuccessful,0
Unsuccessful Pass,0
